"","CLUSTER","lon_cluster","lat_cluster","FREQ","TIME.OF.DAY","MONTH"
"1","1NIGHT_MORNING",-9862.40225170533,5660506.85222131,1082,"NIGHT_MORNING",1
"2","10NIGHT_MORNING",-8856.02919603337,5660130.54359642,1330,"NIGHT_MORNING",1
"3","11NIGHT_MORNING",-9537.53937951801,5659948.95828179,1822,"NIGHT_MORNING",1
"4","12NIGHT_MORNING",-9682.64462607437,5659895.51758558,1564,"NIGHT_MORNING",1
"5","13NIGHT_MORNING",-9602.02198794239,5659901.23344511,1862,"NIGHT_MORNING",1
"6","14NIGHT_MORNING",-9438.2783036625,5660358.32985116,2170,"NIGHT_MORNING",1
"7","15NIGHT_MORNING",-9632.36796379626,5659971.05280018,2597,"NIGHT_MORNING",1
"8","16NIGHT_MORNING",-9387.98048833978,5659865.37682582,314,"NIGHT_MORNING",1
"9","17NIGHT_MORNING",-9865.57895132856,5660527.70488729,29,"NIGHT_MORNING",1
"10","18NIGHT_MORNING",-9383.69712813913,5659874.27623525,1158,"NIGHT_MORNING",1
"11","19NIGHT_MORNING",-9599.47841652795,5659848.76543005,524,"NIGHT_MORNING",1
"12","2NIGHT_MORNING",-9214.00663314049,5660220.2045519,169,"NIGHT_MORNING",1
"13","20NIGHT_MORNING",-9429.6704798385,5660351.28924576,537,"NIGHT_MORNING",1
"14","21NIGHT_MORNING",-9487.75454689842,5659877.29079276,420,"NIGHT_MORNING",1
"15","22NIGHT_MORNING",-9677.45355419817,5659895.63534856,820,"NIGHT_MORNING",1
"16","23NIGHT_MORNING",-9444.10226709158,5660325.30705431,1091,"NIGHT_MORNING",1
"17","24NIGHT_MORNING",-10138.7437855457,5660558.88570697,5,"NIGHT_MORNING",1
"18","25NIGHT_MORNING",-10032.5195387489,5659965.12613742,28,"NIGHT_MORNING",1
"19","26NIGHT_MORNING",-9210.37014464077,5660461.92609279,38,"NIGHT_MORNING",1
"20","27NIGHT_MORNING",-9435.3692853124,5660365.74372952,370,"NIGHT_MORNING",1
"21","28NIGHT_MORNING",-8893.46983276315,5660385.47063407,394,"NIGHT_MORNING",1
"22","29NIGHT_MORNING",-9266.35613748806,5659901.17651117,1116,"NIGHT_MORNING",1
"23","3NIGHT_MORNING",-9621.37278063472,5659878.75514751,61,"NIGHT_MORNING",1
"24","30NIGHT_MORNING",-9136.11737823875,5660233.00792581,311,"NIGHT_MORNING",1
"25","4NIGHT_MORNING",-9305.13789803892,5660006.33493251,1460,"NIGHT_MORNING",1
"26","5NIGHT_MORNING",-9463.79227956976,5659994.64285194,46,"NIGHT_MORNING",1
"27","6NIGHT_MORNING",-8463.15210773824,5660037.01286448,13,"NIGHT_MORNING",1
"28","7NIGHT_MORNING",-9453.12633034814,5660385.41157728,592,"NIGHT_MORNING",1
"29","8NIGHT_MORNING",-9648.78168558909,5659898.27228256,1070,"NIGHT_MORNING",1
"30","9NIGHT_MORNING",-9438.21215349796,5659901.35069813,9146,"NIGHT_MORNING",1
"31","1NIGHT_MORNING",-9218.0227619136,5660454.03164194,154,"NIGHT_MORNING",2
"32","10NIGHT_MORNING",-9704.08995465992,5659890.60398696,882,"NIGHT_MORNING",2
"33","11NIGHT_MORNING",-9369.56561836811,5660267.3122737,214,"NIGHT_MORNING",2
"34","12NIGHT_MORNING",-9439.16030249615,5659891.91995613,10738,"NIGHT_MORNING",2
"35","13NIGHT_MORNING",-9601.59742876524,5659901.87114808,1905,"NIGHT_MORNING",2
"36","14NIGHT_MORNING",-8748.88390590186,5660416.99153763,198,"NIGHT_MORNING",2
"37","15NIGHT_MORNING",-8863.81054521199,5660141.3799683,1107,"NIGHT_MORNING",2
"38","16NIGHT_MORNING",-9644.32839763909,5659946.95890379,1916,"NIGHT_MORNING",2
"39","17NIGHT_MORNING",-9113.43375536463,5660165.84655994,553,"NIGHT_MORNING",2
"40","18NIGHT_MORNING",-8840.23096643557,5660109.6214436,1219,"NIGHT_MORNING",2
"41","19NIGHT_MORNING",-9165.13240216584,5660235.127695,457,"NIGHT_MORNING",2
"42","2NIGHT_MORNING",-9315.62274882406,5659881.76360535,2282,"NIGHT_MORNING",2
"43","20NIGHT_MORNING",-9383.44215488126,5659879.02227684,313,"NIGHT_MORNING",2
"44","21NIGHT_MORNING",-9645.93765129701,5659902.25103977,1311,"NIGHT_MORNING",2
"45","22NIGHT_MORNING",-9527.65063619154,5659907.02388928,288,"NIGHT_MORNING",2
"46","23NIGHT_MORNING",-10443.7597311594,5659813.27969734,251,"NIGHT_MORNING",2
"47","24NIGHT_MORNING",-8878.07054696236,5660175.95393216,426,"NIGHT_MORNING",2
